created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 12 18:17:12 +0000 2023;1723766913313214915;"@Gus_Raharjo Karna drama mereka terlalu rumit akhirnya mutusin buat fokus aja ke ganjar mahfud 🫶🏻";0;0;0;0;in;1400663492902879232;1723668419822895278;Syamilaaulia2;https://twitter.com/Syamilaaulia2/status/1723766913313214915
Sun Nov 12 18:17:10 +0000 2023;1723766904492589465;"@GasiGugu @VIVAcoid Tetap tenang dan bermain menarik itulah pak Ganjar";0;0;0;0;in;1698206038015836160;1723588221643497540;Hakim1577;https://twitter.com/Hakim1577/status/1723766904492589465
Sun Nov 12 18:16:47 +0000 2023;1723766806265926058;"@VIVAcoid Semakin kompak semakin solid untuk merapat dengan pak Ganjar";0;1;0;0;in;1491021640053919746;1723588221643497540;GasiGugu;https://twitter.com/GasiGugu/status/1723766806265926058
Sun Nov 12 18:16:41 +0000 2023;1723766781561684476;"@kiki_daliyo @ganjarpranowo hanya ada dua doa saya utk Pak Ganjar dan Mahfud. semoga menang di 2024 nanti... semoga selalu mendahulukan rakyat setelah memimpin nanti.";0;0;0;0;in;1704571589918961664;1723558504173371891;EdithIsom82026;https://twitter.com/EdithIsom82026/status/1723766781561684476
Sun Nov 12 18:16:22 +0000 2023;1723766704277160443;"@gus_dibyo Rakyat sudah muak dengan rezim jokowi yang tidak memihak rakyat sedikitpun,kini saatnya indonesia bangkit bersama pak ganjar";0;1;0;0;in;1713480440055762944;1723556602127716466;Linda52878;https://twitter.com/Linda52878/status/1723766704277160443
Sun Nov 12 18:16:19 +0000 2023;1723766687860711621;"@ch_chotimah2 @Dennysiregar7 @gibran_tweet @adearmando61 Kalo milih Ganjar akalnya sehat, kalo milih gibran akalnya rusak, biar adil, gimana kalo kita pilih anies aja?";0;0;0;0;in;1407812797187059715;1723522332118134869;kak_chia;https://twitter.com/kak_chia/status/1723766687860711621
Sun Nov 12 18:16:09 +0000 2023;1723766648492957815;"@Prihati_utami Seru banget yang bisa duduk bareng dan ngobrol dengan Pak Ganjar. Pengen dong ikutan bincang-bincang.";0;0;0;0;in;2758592218;1723554022374941076;jigooku;https://twitter.com/jigooku/status/1723766648492957815
Sun Nov 12 18:16:08 +0000 2023;1723766643191341139;"@BocahTuaNdableg @ShenoWirang Mau ganjar atau siapapun silakn jabarkan visi misinya proyek² di bawah pemerintahan jokowi yg bgitu bnyk tp nihil mangkrak karena jokowi rajin kroscek langsung rajin kemna² di seantero Indonesia. Sedangkan si ketua partai cm duduk manis anggota partai ongkang² kaki";0;0;0;0;in;1589472901639507968;1723129978618056910;AmirShadan2;https://twitter.com/AmirShadan2/status/1723766643191341139
Sun Nov 12 18:15:55 +0000 2023;1723766588166504689;"@cakery_cuk Hoax lu.walikota dari nasdem ini. Yg dicopot hanya baliho partai lain.bukan Ganjar Mahfud. Dengar baek2. Jgn jadi kek kadrun ah";0;0;0;0;in;349615961;1723729065029574850;ahmadyaniritong;https://twitter.com/ahmadyaniritong/status/1723766588166504689
Sun Nov 12 18:15:51 +0000 2023;1723766573067100244;"Bisa ae nih pa ganjar ngontennya";0;0;0;0;in;1572583111468392449;1723766573067100244;Lorazaepam;https://twitter.com/Lorazaepam/status/1723766573067100244
